case_group,role,is_malicious,num_cases,num_client_rounds,free_energy_mean,free_energy_std_across_cases,free_energy_min,free_energy_q25_mean,free_energy_median_mean,free_energy_q75_mean,free_energy_max
success_alpha0p1_ratio0p3_strength2p0,malicious,1,1,10,1.871429181098938,,1.8064944744110107,1.831822633743286,1.8446016311645508,1.8760353326797483,1.9981918334960935
success_alpha0p1_ratio0p3_strength5p0,benign,0,1,30,1.8940427382787068,,1.7850358486175537,1.854603350162506,1.9037879705429075,1.928794652223587,2.0051462650299072
success_alpha0p1_ratio0p3_strength5p0,malicious,1,1,10,2.332506608963013,,2.2733402252197266,2.2836480140686035,2.3043212890625,2.3405792713165283,2.460644245147705
success_alpha0p1_ratio0p3_strength8p0,benign,0,1,30,1.8936346610387167,,1.7845762968063354,1.854048639535904,1.9029942750930784,1.928530991077423,2.0047452449798584
success_alpha0p1_ratio0p3_strength8p0,malicious,1,1,10,3.054980516433716,,2.9992787837982178,3.0017809867858887,3.019810914993286,3.068471908569336,3.1855599880218506
success_alpha0p1_ratio0p5_strength2p0,benign,0,1,20,1.914169681072235,,1.7856040000915527,1.8936315774917605,1.924037754535675,1.93311607837677,2.0059425830841064
success_alpha0p1_ratio0p5_strength2p0,malicious,1,1,20,1.871713387966156,,1.7411093711853027,1.8029444217681885,1.8585280179977417,1.9478304386138916,1.9949018955230713
success_alpha0p1_ratio0p5_strength5p0,benign,0,1,20,1.9189048767089845,,1.7909481525421145,1.8993955850601196,1.9276068210601809,1.9389339685440063,2.0123836994171143
success_alpha0p1_ratio0p5_strength5p0,malicious,1,1,20,2.3072570323944093,,2.1435117721557617,2.2506697177886963,2.3102444410324097,2.409364938735962,2.4392685890197754
success_alpha0p1_ratio0p5_strength8p0,benign,0,1,20,1.918459475040436,,1.790778636932373,1.8989733457565308,1.9275453090667725,1.937946081161499,2.01171612739563
success_alpha0p1_ratio0p5_strength8p0,malicious,1,1,20,3.004326844215393,,2.808523178100586,2.960524559020996,3.019969940185547,3.097529649734497,3.1453349590301514
success_alpha1p0_ratio0p1_strength2p0,benign,0,1,40,1.876360094547272,,1.7613606452941897,1.8074377179145813,1.8918524980545044,1.9246039390563965,2.027815341949463
success_alpha1p0_ratio0p1_strength5p0,benign,0,1,40,1.8712369978427887,,1.7448618412017822,1.8277648389339447,1.8870861530303955,1.915693372488022,1.9672683477401731
success_alpha1p0_ratio0p1_strength8p0,benign,0,1,40,1.8693340361118316,,1.780281901359558,1.8329646587371824,1.8776199221611023,1.9116096198558807,1.9574222564697263
success_alpha1p0_ratio0p3_strength2p0,benign,0,1,30,1.900489330291748,,1.7845927476882937,1.8732696771621704,1.9054360389709473,1.9361259639263153,1.967051148414612
success_alpha1p0_ratio0p3_strength2p0,malicious,1,1,10,1.7154158353805542,,1.2745689153671265,1.29047429561615,1.866329550743103,2.0543062686920166,2.091400146484375
success_alpha1p0_ratio0p3_strength5p0,benign,0,1,30,1.9108346780141192,,1.860550045967102,1.8739127814769745,1.915231466293335,1.9365726113319397,1.958814024925232
success_alpha1p0_ratio0p3_strength5p0,malicious,1,1,10,1.7462653756141662,,0.7158190011978149,0.7561950087547302,2.2594516277313232,2.4371984004974365,2.5626628398895264
success_alpha1p0_ratio0p3_strength8p0,benign,0,1,30,1.898830803235372,,1.812589406967163,1.8825229406356812,1.8905444145202637,1.9218981862068176,1.9768086671829224
success_alpha1p0_ratio0p3_strength8p0,malicious,1,1,10,3.160620403289795,,2.961825370788574,3.161513328552246,3.2074248790740967,3.235818862915039,3.2365195751190186
success_alpha1p0_ratio0p5_strength2p0,benign,0,1,20,1.9048792362213136,,1.8675525188446045,1.885837197303772,1.9062479734420776,1.9276089668273928,1.9374865293502808
success_alpha1p0_ratio0p5_strength2p0,malicious,1,1,20,1.8730234503746033,,1.375516653060913,1.780186653137207,1.986998200416565,2.068615436553955,2.191329002380371
success_alpha1p0_ratio0p5_strength5p0,benign,0,1,20,1.9258601188659668,,1.8461158275604248,1.8745551109313965,1.9237354397773745,1.9698278903961184,2.0299906730651855
success_alpha1p0_ratio0p5_strength5p0,malicious,1,1,20,1.7130665719509124,,0.6917729377746582,0.7629545331001282,2.223459839820862,2.3980770111083984,2.5683858394622803
success_alpha1p0_ratio0p5_strength8p0,benign,0,1,20,1.9201585054397583,,1.8741405010223389,1.8955175876617432,1.912907361984253,1.9385193586349487,1.9985020160675049
success_alpha1p0_ratio0p5_strength8p0,malicious,1,1,20,2.790128269791603,,0.4267202913761139,2.9913434982299805,3.026971220970154,3.1014833450317383,3.1998844146728516
