case_group,n,final_accuracy_mean,final_accuracy_std,final_f1_mean,final_f1_std,avg_accuracy_mean,avg_accuracy_std,avg_f1_mean,avg_f1_std,avg_free_energy_mean,avg_free_energy_std,weight_suppression_ratio_mean,weight_suppression_ratio_std,vfe_malicious_auroc_mean,vfe_malicious_auroc_std,final_communication_mb_mean,final_communication_mb_std,avg_communication_mb_mean,avg_communication_mb_std,final_avg_forward_ms_mean,final_avg_forward_ms_std,avg_forward_ms_mean,avg_forward_ms_std,final_upload_serialize_ms_mean,final_upload_serialize_ms_std,avg_upload_serialize_ms_mean,avg_upload_serialize_ms_std,final_weight_compute_ms_mean,final_weight_compute_ms_std,avg_weight_compute_ms_mean,avg_weight_compute_ms_std,final_aggregate_ms_mean,final_aggregate_ms_std,avg_aggregate_ms_mean,avg_aggregate_ms_std
success_alpha0p05_ratio0p3_strength2p0,1,0.0,0.0,0.25,0.0,0.2,0.0,0.15,0.0,1.8413704633712769,0.0,0.9333298078018003,0.0,0.3333333333333333,0.0,0.007519721984863281,0.0,0.007519721984863281,0.0,1521.8358139973134,0.0,1465.257658320479,0.0,3.0412976630032063,0.0,3.221831377595663,0.0,0.4886975511908531,0.0,0.39729420095682144,0.0,0.688046682626009,0.0,3.4563321620225906,0.0
success_alpha0p05_ratio0p3_strength5p0,1,0.0,0.0,0.25,0.0,0.2,0.0,0.15,0.0,1.8590061992406846,0.0,1.4093557069984242,0.0,0.6,0.0,0.007519721984863281,0.0,0.007519721984863281,0.0,1070.9574552020058,0.0,1428.9978402899578,0.0,3.2789139077067375,0.0,3.2694420777261257,0.0,0.49116602167487144,0.0,0.40852930396795273,0.0,0.721955206245184,0.0,3.315459471195936,0.0
success_alpha0p05_ratio0p3_strength8p0,1,0.0,0.0,0.25,0.0,0.2,0.0,0.15,0.0,1.944382780790329,0.0,2.551347483557816,0.0,0.6,0.0,0.007519721984863281,0.0,0.007519721984863281,0.0,1449.5121676009148,0.0,1479.5093139633536,0.0,2.0912582986056805,0.0,2.684167493134737,0.0,0.29003387317061424,0.0,0.3242478705942631,0.0,0.6193970330059528,0.0,3.7481211125850677,0.0
success_alpha0p05_ratio0p5_strength2p0,1,0.0,0.0,0.5,0.0,0.15,0.0,0.35,0.0,1.8658125281333924,0.0,0.9953496394304898,0.0,0.51,0.0,0.007519721984863281,0.0,0.007519721984863281,0.0,1110.281311091967,0.0,1269.411278422922,0.0,1.5849769115447998,0.0,1.8665669485926628,0.0,0.22595562040805817,0.0,0.21744584664702415,0.0,0.4400131292641163,0.0,2.3899701423943043,0.0
success_alpha0p05_ratio0p5_strength5p0,1,0.0,0.0,0.5,0.0,0.15,0.0,0.35,0.0,1.9855239540338516,0.0,1.4559819188461982,0.0,0.8,0.0,0.007519721984863281,0.0,0.007519721984863281,0.0,1541.430570767261,0.0,1546.1177567020059,0.0,2.3781489580869675,0.0,2.700934000313282,0.0,0.375854317098856,0.0,0.372107420116663,0.0,0.646436121314764,0.0,2.8076120652258396,0.0
success_alpha0p05_ratio0p5_strength8p0,1,0.0,0.0,0.5,0.0,0.15,0.0,0.35,0.0,2.2324568435549734,0.0,2.547598816139225,0.0,0.8,0.0,0.007519721984863281,0.0,0.007519721984863281,0.0,1223.0897002154961,0.0,1279.7121714800596,0.0,1.5647676773369312,0.0,1.907025370746851,0.0,0.2326550893485546,0.0,0.23438464850187302,0.0,0.4309150390326977,0.0,2.6052137836813927,0.0
success_alpha0p1_ratio0p1_strength2p0,1,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,1.8668211281299592,0.0,0.0,0.0,,,0.007519721984863281,0.0,0.007519721984863281,0.0,912.2947819996625,0.0,829.3583018705249,0.0,1.857855822890997,0.0,1.9791659899055958,0.0,0.2552461810410023,0.0,0.24737389758229256,0.0,0.4906700924038887,0.0,2.0962145179510117,0.0
success_alpha0p1_ratio0p1_strength5p0,1,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,1.8668211281299592,0.0,0.0,0.0,,,0.007519721984863281,0.0,0.007519721984863281,0.0,937.0392608689144,0.0,1007.4743520934135,0.0,1.6788518987596035,0.0,2.112843841314316,0.0,0.2180519513785839,0.0,0.2655826508998871,0.0,0.447817612439394,0.0,2.07507461309433,0.0
success_alpha0p1_ratio0p1_strength8p0,1,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,1.8668211281299592,0.0,0.0,0.0,,,0.007519721984863281,0.0,0.007519721984863281,0.0,1020.2955559361726,0.0,888.3454828988761,0.0,1.7409962601959705,0.0,1.9973061978816986,0.0,0.23363623768091202,0.0,0.24341978132724762,0.0,0.45058969408273697,0.0,1.90851716324687,0.0
success_alpha0p1_ratio0p3_strength2p0,1,0.0,0.0,0.25,0.0,0.15,0.0,0.2,0.0,1.887821477651596,0.0,1.0090374996197093,0.0,0.3466666666666667,0.0,0.007519721984863281,0.0,0.007519721984863281,0.0,729.673043708317,0.0,869.8227092623711,0.0,1.262832898646593,0.0,1.952694822102785,0.0,0.1643751747906208,0.0,0.2731233835220337,0.0,0.33614784479141235,0.0,1.8790660426020622,0.0
